step,source_target_hit,positive_target_hit,independent_target_hit,family_independent_gap,hardlabel_auc,n_source_rows,n_positive_models,n_independent_models,mean_scm,median_scm,n_scm_rows
112,1.0,0.86875,0.10555555555555556,0.7631944444444445,1.0,20,8,9,6.612041004370778,6.162496325537983,20
113,1.0,0.86875,0.10555555555555556,0.7631944444444445,1.0,20,8,9,6.578414152678751,6.103841065487146,20
114,1.0,0.8625,0.11666666666666667,0.7458333333333333,1.0,20,8,9,6.6313846716623015,6.0578022058086205,20
115,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.588269066446384,5.956640299128779,20
116,1.0,0.85625,0.1111111111111111,0.7451388888888888,1.0,20,8,9,6.593198525630281,6.0297552435268855,20
117,1.0,0.85,0.1111111111111111,0.7388888888888889,1.0,20,8,9,6.6103070541683735,6.186677034940102,20
118,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,6.583339283122132,6.072410172374024,20
119,1.0,0.8625,0.11666666666666667,0.7458333333333333,1.0,20,8,9,6.5754028135878855,6.117429460701886,20
120,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,6.630494718527084,6.079011387155049,20
121,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,6.6465151867585135,6.201825224965411,20
122,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,6.635953559275242,6.124828387333991,20
123,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.688577217119511,6.129827693792052,20
124,1.0,0.8375,0.12222222222222222,0.7152777777777778,1.0,20,8,9,6.653235575643609,6.19731923027989,20
125,1.0,0.84375,0.12222222222222222,0.7215277777777778,1.0,20,8,9,6.673207414251199,6.077472042424368,20
126,1.0,0.83125,0.12777777777777777,0.7034722222222223,1.0,20,8,9,6.667764066582741,6.089711513631719,20
127,1.0,0.85625,0.13333333333333333,0.7229166666666667,1.0,20,8,9,6.676919982427772,6.19731923027989,20
128,1.0,0.83125,0.12222222222222222,0.7090277777777778,1.0,20,8,9,6.676861137107227,6.1104078812024945,20
129,1.0,0.85,0.12222222222222222,0.7277777777777777,1.0,20,8,9,6.655737803110211,6.147854439890444,20
130,1.0,0.85,0.12777777777777777,0.7222222222222222,1.0,20,8,9,6.643463074286245,6.132824027739131,20
131,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,6.615206328133668,6.072410172374024,20
132,1.0,0.84375,0.12222222222222222,0.7215277777777778,1.0,20,8,9,6.71418269804624,6.023183550787772,20
133,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,6.709553481355572,6.107477375928893,20
134,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,6.708113115779627,6.155988299848963,20
135,1.0,0.86875,0.12777777777777777,0.7409722222222223,1.0,20,8,9,6.754605096285452,6.116174589836769,20
136,1.0,0.8625,0.12222222222222222,0.7402777777777778,1.0,20,8,9,6.7394625039391824,6.2191918410413,20
137,1.0,0.85625,0.12777777777777777,0.7284722222222222,1.0,20,8,9,6.700777026593045,6.128620833085527,20
138,1.0,0.88125,0.11666666666666667,0.7645833333333333,1.0,20,8,9,6.734428835611008,6.192396358342879,20
139,1.0,0.85,0.12777777777777777,0.7222222222222222,1.0,20,8,9,6.726137491777668,6.1681093031602785,20
140,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.706386424375603,5.97622413130291,20
141,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.644991457140162,6.051828223646962,20
142,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,6.709959989548443,6.07217808648106,20
143,1.0,0.8625,0.12222222222222222,0.7402777777777778,1.0,20,8,9,6.718587985505775,6.118074652496604,20
144,1.0,0.84375,0.12777777777777777,0.7159722222222222,1.0,20,8,9,6.683372280996847,6.161244163406169,20
145,1.0,0.85,0.12222222222222222,0.7277777777777777,1.0,20,8,9,6.5515378069639,6.045781744041936,20
146,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,6.702536932684387,6.043943469162011,20
147,1.0,0.84375,0.12222222222222222,0.7215277777777778,1.0,20,8,9,6.701948240018647,5.980328544211085,20
148,1.0,0.85,0.12222222222222222,0.7277777777777777,1.0,20,8,9,6.758730094005772,6.042428886836323,20
149,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.765902406190188,6.116170775139516,20
150,1.0,0.85,0.1111111111111111,0.7388888888888889,1.0,20,8,9,6.7671286829046995,6.0824404718466845,20
151,1.0,0.84375,0.10555555555555556,0.7381944444444445,1.0,20,8,9,6.8237614906469615,6.0370939852218175,20
152,1.0,0.84375,0.12222222222222222,0.7215277777777778,1.0,20,8,9,6.832271268312731,6.162246573112423,20
153,1.0,0.85625,0.1111111111111111,0.7451388888888888,1.0,20,8,9,6.825627390866681,6.1057885809795565,20
154,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,6.841515907046562,6.137214171730037,20
155,1.0,0.825,0.1111111111111111,0.7138888888888888,1.0,20,8,9,6.827703302689625,6.032281170879458,20
156,1.0,0.8375,0.1111111111111111,0.726388888888889,1.0,20,8,9,6.855836748866385,6.1314667323130365,20
157,1.0,0.85,0.10555555555555556,0.7444444444444445,1.0,20,8,9,6.855047700523232,6.160183951614476,20
158,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,6.870985966330227,6.238710224925603,20
159,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,6.834115056532177,6.217527800119839,20
160,1.0,0.8375,0.11666666666666667,0.7208333333333333,1.0,20,8,9,6.805379144436499,6.214852657430551,20
161,1.0,0.85625,0.12777777777777777,0.7284722222222222,1.0,20,8,9,6.844341314021941,6.187397051884768,20
162,1.0,0.84375,0.12777777777777777,0.7159722222222222,1.0,20,8,9,6.8238163037357324,6.159868818873262,20
163,1.0,0.8375,0.12222222222222222,0.7152777777777778,1.0,20,8,9,6.785326894354853,6.215539779520082,20
164,1.0,0.8625,0.11666666666666667,0.7458333333333333,1.0,20,8,9,6.809298359385568,6.215535964822777,20
165,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.793156627815547,6.039529230368114,20
166,1.0,0.8625,0.12222222222222222,0.7402777777777778,1.0,20,8,9,6.797479520571111,6.151962637317833,20
167,1.0,0.8625,0.12222222222222222,0.7402777777777778,1.0,20,8,9,6.807537474428409,6.210296786971059,20
168,1.0,0.86875,0.12222222222222222,0.7465277777777778,1.0,20,8,9,6.831540937051443,6.200209604386631,20
169,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,6.779112027586365,6.13906749449346,20
170,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.797910562972268,6.22897457989146,20
171,1.0,0.86875,0.12222222222222222,0.7465277777777778,1.0,20,8,9,6.797674188757926,6.235840532635258,20
172,1.0,0.86875,0.12222222222222222,0.7465277777777778,1.0,20,8,9,6.800413222846293,6.308032912369043,20
173,1.0,0.8625,0.12777777777777777,0.7347222222222223,1.0,20,8,9,6.816162851492765,6.330379703511046,20
174,1.0,0.8625,0.12222222222222222,0.7402777777777778,1.0,20,8,9,6.862705911921495,6.521057381457556,20
175,1.0,0.85,0.12222222222222222,0.7277777777777777,1.0,20,8,9,6.828203408965239,6.1603392637894245,20
176,1.0,0.8625,0.11666666666666667,0.7458333333333333,1.0,20,8,9,6.787336975242401,6.039717994655446,20
177,1.0,0.85,0.1111111111111111,0.7388888888888889,1.0,20,8,9,6.770722858625691,6.096739559638168,20
178,1.0,0.8625,0.1111111111111111,0.7513888888888889,1.0,20,8,9,6.809596868295041,6.030839980814481,20
179,1.0,0.8625,0.12777777777777777,0.7347222222222223,1.0,20,8,9,6.851521681614878,6.1560001980996715,20
180,1.0,0.8625,0.11666666666666667,0.7458333333333333,1.0,20,8,9,6.789782011182851,6.155996383402355,20
181,1.0,0.85,0.13333333333333333,0.7166666666666667,1.0,20,8,9,6.812821554890872,6.388300847881943,20
182,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,6.8275880412323104,6.274653502192253,20
183,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,6.857804268136749,6.513377141827193,20
184,1.0,0.85625,0.12777777777777777,0.7284722222222222,1.0,20,8,9,6.856201120705275,6.337203093256731,20
185,1.0,0.8625,0.13333333333333333,0.7291666666666667,1.0,20,8,9,6.883980162510033,6.3997507769725,20
186,1.0,0.8625,0.12222222222222222,0.7402777777777778,1.0,20,8,9,6.845576737050043,6.335746474192172,20
187,1.0,0.875,0.12222222222222222,0.7527777777777778,1.0,20,8,9,6.898035308183649,6.448800188998893,20
188,1.0,0.86875,0.1388888888888889,0.7298611111111111,1.0,20,8,9,6.847255520697064,6.3237105436131475,20
189,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,6.879342087173446,6.332672926847249,20
190,1.0,0.84375,0.12222222222222222,0.7215277777777778,1.0,20,8,9,6.862194636123812,6.271572933810403,20
191,1.0,0.85,0.12777777777777777,0.7222222222222222,1.0,20,8,9,6.838412236338063,6.272855914778635,20
192,1.0,0.83125,0.13333333333333333,0.6979166666666667,1.0,20,8,9,6.8508578281872925,6.274995256875046,20
193,1.0,0.84375,0.13333333333333333,0.7104166666666667,1.0,20,8,9,6.836411862600075,6.378594539983894,20
194,1.0,0.85625,0.12777777777777777,0.7284722222222222,1.0,20,8,9,6.828267351294153,6.273993005870135,20
195,1.0,0.84375,0.1388888888888889,0.7048611111111112,0.9930555555555556,20,8,9,6.829815109620815,6.331932730566274,20
196,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,6.855486254612546,6.264204823595104,20
197,1.0,0.86875,0.1388888888888889,0.7298611111111111,1.0,20,8,9,6.9020042229257825,6.509995363305201,20
198,1.0,0.85625,0.13333333333333333,0.7229166666666667,1.0,20,8,9,6.891385923434816,6.619897826296921,20
199,1.0,0.8625,0.13333333333333333,0.7291666666666667,1.0,20,8,9,6.865740346721618,6.437764017933817,20
200,1.0,0.8625,0.12777777777777777,0.7347222222222223,1.0,20,8,9,6.85019027449002,6.246417062615421,20
